code|name|spell
sh600213|亚星客车|600213YXKC
sh600215|长春经开|600215CCJK
sh600216|浙江医药|600216ZJYY
sh600217|中再资环|600217ZZZH
sh600218|全柴动力|600218QCDL
sh600219|南山铝业|600219NSLY
sh600220|江苏阳光|600220JSYG
sh600221|海航控股|600221HHKG
sh600222|太龙药业|600222TLYY
sh600223|鲁商置业|600223LSZY
sh600225|天津松江|600225TJSJ
sh600226|瀚叶股份|600226HYGF
sh600227|赤天化|600227CTH
sh600228|昌九生化|600228CJSH
sh600229|城市传媒|600229CSCM
sh600230|沧州大化|600230CZDH
sh600231|凌钢股份|600231LGGF
sh600232|金鹰股份|600232JYGF
sh600233|圆通速递|600233YTSD
sh600234|山水文化|600234SSWH
sh600235|民丰特纸|600235MFTZ
sh600236|桂冠电力|600236GGDL
sh600237|铜峰电子|600237TFDZ
sh600238|海南椰岛|600238HNYD
sh600239|云南城投|600239YNCT
sh600240|华业资本|600240HYZB
sh600241|时代万恒|600241SDWH
sh600242|中昌数据|600242ZCSJ
sh600243|青海华鼎|600243QHHD
sh600246|万通地产|600246WTDC
sh600247|ST成城|600247STCC
sh600248|延长化建|600248YCHJ
sh600249|两面针|600249LMZ
sh600250|南纺股份|600250NFGF
sh600251|冠农股份|600251GNGF
sh600252|中恒集团|600252ZHJT
sh600255|鑫科材料|600255XKCL
sh600256|广汇能源|600256GHNY
sh600257|大湖股份|600257DHGF
sh600258|首旅酒店|600258SLJD
sh600259|广晟有色|600259GCYS
sh600260|凯乐科技|600260KLKJ
sh600261|阳光照明|600261YGZM
sh600262|北方股份|600262BFGF
sh600265|ST景谷|600265STJG
sh600266|北京城建|600266BJCJ
sh600267|海正药业|600267HZYY
sh600268|国电南自|600268GDNZ
sh600269|赣粤高速|600269GYGS
sh600270|外运发展|600270WYFZ
sh600271|航天信息|600271HTXX
sh600272|开开实业|600272KKSY
sh600273|嘉化能源|600273JHNY
sh600275|武昌鱼|600275WCY
sh600276|恒瑞医药|600276HRYY
sh600277|亿利洁能|600277YLJN
sh600278|东方创业|600278DFCY
sh600279|重庆港九|600279ZQGJ
sh600280|中央商场|600280ZYSC
sh600281|太化股份|600281THGF
sh600282|南钢股份|600282NGGF
sh600283|钱江水利|600283QJSL
sh600284|浦东建设|600284PDJS
sh600285|羚锐制药|600285LRZY
sh600287|江苏舜天|600287JSST
sh600288|大恒科技|600288DHKJ
sh600289|亿阳信通|600289YYXT
sh600290|华仪电气|600290HYDQ
sh600291|西水股份|600291XSGF
sh600292|远达环保|600292YDHB
sh600293|三峡新材|600293SXXC
sh600295|鄂尔多斯|600295EEDS
sh600297|广汇汽车|600297GHQC
sh600298|安琪酵母|600298AQJM
sh600299|蓝星新材|600299LXXC
sh600300|维维股份|600300WWGF
sh600301|ST南化|600301STNH
sh600302|标准股份|600302BZGF
sh600303|曙光股份|600303SGGF
sh600305|恒顺醋业|600305HSCY
sh600306|商业城|600306SYC
sh600307|酒钢宏兴|600307JGHX
sh600308|华泰股份|600308HTGF
sh600309|万华化学|600309WHHX
sh600310|桂东电力|600310GDDL
sh600311|荣华实业|600311RHSY
sh600312|平高电气|600312PGDQ
sh600313|农发种业|600313NFZY
sh600315|上海家化|600315SHJH
sh600316|洪都航空|600316HDHK
sh600317|营口港|600317YKG
sh600318|新力金融|600318XLJR
sh600319|亚星化学|600319YXHX
sh600320|振华重工|600320ZHZG
sh600321|国栋建设|600321GDJS
sh600322|天房发展|600322TFFZ
sh600323|瀚蓝环境|600323HLHJ
sh600325|华发股份|600325HFGF
sh600326|西藏天路|600326XCTL
sh600327|大东方|600327DDF
sh600328|兰太实业|600328LTSY
sh600329|中新药业|600329ZXYY
sh600330|天通股份|600330TTGF
sh600331|宏达股份|600331HDGF
sh600332|白云山|600332BYS
sh600333|长春燃气|600333CCRQ
sh600335|国机汽车|600335GJQC
sh600336|澳柯玛|600336AKM
sh600337|美克家居|600337MKJJ
sh600338|西藏珠峰|600338XCZF
sh600339|中油工程|600339ZYGC
sh600340|华夏幸福|600340HXXF
sh600343|航天动力|600343HTDL
sh600345|长江通信|600345CJTX
sh600346|恒力股份|600346HLGF
sh600348|阳泉煤业|600348YQMY
sh600350|山东高速|600350SDGS
sh600351|亚宝药业|600351YBYY
sh600352|浙江龙盛|600352ZJLS
sh600353|旭光股份|600353XGGF
sh600354|敦煌种业|600354DHZY
sh600355|精伦电子|600355JLDZ
sh600356|恒丰纸业|600356HFZY
sh600358|国旅联合|600358GLLH
sh600359|新农开发|600359XNKF
sh600360|华微电子|600360HWDZ
sh600361|华联综超|600361HLZC
sh600362|江西铜业|600362JXTY
sh600363|联创光电|600363LCGD
sh600365|通葡股份|600365TPGF
