name|code|total_score_max|total_score_min|message_score_max|message_score_min|trade_score_max|trade_score_min|basic_score_max|basic_score_min|rate_buy_num|lhb_num
<a target="_blank" href="/Stock.php?code=sz000795"><span class="fore-stock-name">太原刚玉</span><span class="fore-stock-spell displaynone">000795TYGY</span></a>|<span class="fore-stock-code">sz000795</span>|6.2|4.8|6.1|5.7|7.7|6.3|5.9|5.5|2|3
<a target="_blank" href="/Stock.php?code=sz000798"><span class="fore-stock-name">中水渔业</span><span class="fore-stock-spell displaynone">000798ZSYY</span></a>|<span class="fore-stock-code">sz000798</span>|6.5|4.8|5.5|5.5|8|5.8|6|5.5|1|1
<a target="_blank" href="/Stock.php?code=sz000810"><span class="fore-stock-name">创维数字</span><span class="fore-stock-spell displaynone">000810CWSZ</span></a>|<span class="fore-stock-code">sz000810</span>|6.4|6.3|5.5|5.5|7.4|5.7|6.3|6.2|0|1
<a target="_blank" href="/Stock.php?code=sz000930"><span class="fore-stock-name">中粮生化</span><span class="fore-stock-spell displaynone">000930ZLSH</span></a>|<span class="fore-stock-code">sz000930</span>|5.3|3.9|5.4|5.1|8.2|6.5|5.4|5.4|0|1
<a target="_blank" href="/Stock.php?code=sz000933"><span class="fore-stock-name">神火股份</span><span class="fore-stock-spell displaynone">000933SHGF</span></a>|<span class="fore-stock-code">sz000933</span>|5.4|4.1|4.1|3.3|6.5|5.3|5.7|5.7|0|1
<a target="_blank" href="/Stock.php?code=sz002019"><span class="fore-stock-name">亿帆鑫富</span><span class="fore-stock-spell displaynone">002019YFXF</span></a>|<span class="fore-stock-code">sz002019</span>|7.4|4.9|8.8|6.4|7.2|5.2|7.3|6.7|4|3
<a target="_blank" href="/Stock.php?code=sz002066"><span class="fore-stock-name">瑞泰科技</span><span class="fore-stock-spell displaynone">002066RTKJ</span></a>|<span class="fore-stock-code">sz002066</span>|5.2|4.1|5.2|4.7|7.6|6|5.7|5.7|0|1
<a target="_blank" href="/Stock.php?code=sz002077"><span class="fore-stock-name">大港股份</span><span class="fore-stock-spell displaynone">002077DGGF</span></a>|<span class="fore-stock-code">sz002077</span>|6.1|5.7|5.3|3.9|8.2|5|5.7|5.7|1|1
<a target="_blank" href="/Stock.php?code=sz002141"><span class="fore-stock-name">蓉胜超微</span><span class="fore-stock-spell displaynone">002141RSCW</span></a>|<span class="fore-stock-code">sz002141</span>|6.1|4.6|6.1|5.8|7.7|5.8|5.9|5.9|1|1
<a target="_blank" href="/Stock.php?code=sz002173"><span class="fore-stock-name">千足珍珠</span><span class="fore-stock-spell displaynone">002173QZZZ</span></a>|<span class="fore-stock-code">sz002173</span>|6.6|4.4|5.2|4.9|8|5.8|5.2|5.2|0|1
<a target="_blank" href="/Stock.php?code=sz002227"><span class="fore-stock-name">奥特迅</span><span class="fore-stock-spell displaynone">002227ATX</span></a>|<span class="fore-stock-code">sz002227</span>|4.7|3.7|3|2.3|7.2|5.1|4.7|4.3|0|1
<a target="_blank" href="/Stock.php?code=sz002265"><span class="fore-stock-name">西仪股份</span><span class="fore-stock-spell displaynone">002265XYGF</span></a>|<span class="fore-stock-code">sz002265</span>|5|4.6|5|4.6|7.8|6.1|4.7|4.2|0|1
<a target="_blank" href="/Stock.php?code=sz002320"><span class="fore-stock-name">海峡股份</span><span class="fore-stock-spell displaynone">002320HXGF</span></a>|<span class="fore-stock-code">sz002320</span>|5.1|4.8|6.5|5.8|5.5|3.9|6.2|6.2|0|1
<a target="_blank" href="/Stock.php?code=sz002335"><span class="fore-stock-name">科华恒盛</span><span class="fore-stock-spell displaynone">002335KHHS</span></a>|<span class="fore-stock-code">sz002335</span>|7.1|5.3|6.4|5.9|7.2|5.1|6.2|5.7|1|1
<a target="_blank" href="/Stock.php?code=sz002346"><span class="fore-stock-name">柘中股份</span><span class="fore-stock-spell displaynone">002346ZZGF</span></a>|<span class="fore-stock-code">sz002346</span>|7|4.8|7.2|6.5|7.2|5.1|5.9|5.5|0|1
<a target="_blank" href="/Stock.php?code=sz002355"><span class="fore-stock-name">兴民钢圈</span><span class="fore-stock-spell displaynone">002355XMGQ</span></a>|<span class="fore-stock-code">sz002355</span>|5.4|3.4|3.7|3.7|7.8|6.1|4.3|3.6|0|1
<a target="_blank" href="/Stock.php?code=sz002371"><span class="fore-stock-name">七星电子</span><span class="fore-stock-spell displaynone">002371QXDZ</span></a>|<span class="fore-stock-code">sz002371</span>|6.5|6|6.4|5.8|8.3|5.6|6|4.9|0|1
<a target="_blank" href="/Stock.php?code=sz002407"><span class="fore-stock-name">多氟多</span><span class="fore-stock-spell displaynone">002407DFD</span></a>|<span class="fore-stock-code">sz002407</span>|6.8|4.6|7.2|6.1|7.8|6.3|6.3|6.2|3|3
<a target="_blank" href="/Stock.php?code=sz002452"><span class="fore-stock-name">长高集团</span><span class="fore-stock-spell displaynone">002452CGJT</span></a>|<span class="fore-stock-code">sz002452</span>|5.5|5.3|6|5.8|7.2|5.1|3.8|3.8|1|1
<a target="_blank" href="/Stock.php?code=sz002562"><span class="fore-stock-name">兄弟科技</span><span class="fore-stock-spell displaynone">002562XDKJ</span></a>|<span class="fore-stock-code">sz002562</span>|7.2|4.9|6.3|5.9|7.8|6.3|6.9|6.4|3|2
<a target="_blank" href="/Stock.php?code=sz002615"><span class="fore-stock-name">哈尔斯</span><span class="fore-stock-spell displaynone">002615HES</span></a>|<span class="fore-stock-code">sz002615</span>|5.7|4.5|5.3|4.8|8.4|6.3|5.8|5.8|0|1
<a target="_blank" href="/Stock.php?code=sz002617"><span class="fore-stock-name">露笑科技</span><span class="fore-stock-spell displaynone">002617LXKJ</span></a>|<span class="fore-stock-code">sz002617</span>|7.1|4.9|6.2|6|7.2|5.1|6.2|5.8|1|1
<a target="_blank" href="/Stock.php?code=sz002717"><span class="fore-stock-name">岭南园林</span><span class="fore-stock-spell displaynone">002717LNYL</span></a>|<span class="fore-stock-code">sz002717</span>|6.7|4|5.9|5.8|3.1|1.8|5.5|5.3|3|2
<a target="_blank" href="/Stock.php?code=sz002751"><span class="fore-stock-name">易尚展示</span><span class="fore-stock-spell displaynone">002751YSZS</span></a>|<span class="fore-stock-code">sz002751</span>|6|4.1|6|5.7|4.9|2.9|7.1|7.1|0|6
