name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000038"><span class="fore-stock-name">深大通</span><span class="fore-stock-spell displaynone">000038SDT</span></a>|<span class="fore-stock-code">sz000038</span>|0.47|7|6.7|6.7|0|6|6|5.2|5.2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002684"><span class="fore-stock-name">猛狮科技</span><span class="fore-stock-spell displaynone">002684MSKJ</span></a>|<span class="fore-stock-code">sz002684</span>|0.47|7|6.3|6.3|0|5.9|5.9|5.3|5.3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300141"><span class="fore-stock-name">和顺电气</span><span class="fore-stock-spell displaynone">300141HSDQ</span></a>|<span class="fore-stock-code">sz300141</span>|0.47|7|3.4|3.4|0|4.3|4.3|5.8|5.8
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300153"><span class="fore-stock-name">科泰电源</span><span class="fore-stock-spell displaynone">300153KTDY</span></a>|<span class="fore-stock-code">sz300153</span>|0.47|7|3.9|3.9|0|4.2|4.2|3.5|3.5
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300001"><span class="fore-stock-name">特锐德</span><span class="fore-stock-spell displaynone">300001TRD</span></a>|<span class="fore-stock-code">sz300001</span>|0.41|7|5.4|5.4|0|6.5|6.5|6.4|6.4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002276"><span class="fore-stock-name">万马股份</span><span class="fore-stock-spell displaynone">002276WMGF</span></a>|<span class="fore-stock-code">sz002276</span>|0.4|7|6.8|6.8|0|6.5|6.5|6.8|6.8
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002114"><span class="fore-stock-name">罗平锌电</span><span class="fore-stock-spell displaynone">002114LPXD</span></a>|<span class="fore-stock-code">sz002114</span>|0.39|7|2|2|0|5.6|5.6|4.4|4.4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002698"><span class="fore-stock-name">博实股份</span><span class="fore-stock-spell displaynone">002698BSGF</span></a>|<span class="fore-stock-code">sz002698</span>|0.39|7|6.5|6.5|0|4.7|4.7|6.1|6.1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002356"><span class="fore-stock-name">浩宁达</span><span class="fore-stock-spell displaynone">002356HND</span></a>|<span class="fore-stock-code">sz002356</span>|0.38|7|7|7|0|5.9|5.9|5.1|5.1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002529"><span class="fore-stock-name">海源机械</span><span class="fore-stock-spell displaynone">002529HYJX</span></a>|<span class="fore-stock-code">sz002529</span>|0.37|7|4.1|4.1|0|4.5|4.5|5.3|5.3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300213"><span class="fore-stock-name">佳讯飞鸿</span><span class="fore-stock-spell displaynone">300213JXFH</span></a>|<span class="fore-stock-code">sz300213</span>|0.37|7|5.7|5.7|0|6.1|6.1|5.9|5.9
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300451"><span class="fore-stock-name">创业软件</span><span class="fore-stock-spell displaynone">300451CYRJ</span></a>|<span class="fore-stock-code">sz300451</span>|0.37|7|6.1|6.1|0|5.2|5.2|6.2|6.2
