name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sz002260"><span class="fore-stock-name">德奥通航</span><span class="fore-stock-spell displaynone">002260DATH</span></a>|<span class="fore-stock-code">sz002260</span>|0.34|6|5.2|5.2|0|5.6|5.6|6.3|6.3
<a target="_blank" href="/Chart.php?code=sz002362"><span class="fore-stock-name">汉王科技</span><span class="fore-stock-spell displaynone">002362HWKJ</span></a>|<span class="fore-stock-code">sz002362</span>|0.34|6|5.5|5.5|0|5.8|5.8|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz002702"><span class="fore-stock-name">海欣食品</span><span class="fore-stock-spell displaynone">002702HXSP</span></a>|<span class="fore-stock-code">sz002702</span>|0.34|6|3.9|3.9|0|4|4|6|6
<a target="_blank" href="/Chart.php?code=sz300191"><span class="fore-stock-name">潜能恒信</span><span class="fore-stock-spell displaynone">300191QNHX</span></a>|<span class="fore-stock-code">sz300191</span>|0.34|6|5.2|5.2|0|5.3|5.3|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz000025"><span class="fore-stock-name">特力Ａ</span><span class="fore-stock-spell displaynone">000025TLA</span></a>|<span class="fore-stock-code">sz000025</span>|0.34|6|7.2|7.2|0|5.8|5.8|7.3|7.3
<a target="_blank" href="/Chart.php?code=sz300479"><span class="fore-stock-name">神思电子</span><span class="fore-stock-spell displaynone">300479SSDZ</span></a>|<span class="fore-stock-code">sz300479</span>|0.34|6|6.3|6.3|0|6.9|6.9|7|7
<a target="_blank" href="/Chart.php?code=sz002493"><span class="fore-stock-name">荣盛石化</span><span class="fore-stock-spell displaynone">002493RSSH</span></a>|<span class="fore-stock-code">sz002493</span>|0.34|6|6.8|6.8|0|6.7|6.7|6.7|6.7
<a target="_blank" href="/Chart.php?code=sz300395"><span class="fore-stock-name">菲利华</span><span class="fore-stock-spell displaynone">300395FLH</span></a>|<span class="fore-stock-code">sz300395</span>|0.34|6|6.4|6.4|0|6|6|7|7
<a target="_blank" href="/Chart.php?code=sz002584"><span class="fore-stock-name">西陇化工</span><span class="fore-stock-spell displaynone">002584XLHG</span></a>|<span class="fore-stock-code">sz002584</span>|0.34|6|5.8|5.8|0|6|6|6.3|6.3
<a target="_blank" href="/Chart.php?code=sh603088"><span class="fore-stock-name">宁波精达</span><span class="fore-stock-spell displaynone">603088NBJD</span></a>|<span class="fore-stock-code">sh603088</span>|0.33|6|5.5|5.5|0|5|5|5.7|5.7
<a target="_blank" href="/Chart.php?code=sz002382"><span class="fore-stock-name">蓝帆医疗</span><span class="fore-stock-spell displaynone">002382LFYL</span></a>|<span class="fore-stock-code">sz002382</span>|0.33|6|7.6|7.6|0|6.1|6.1|6.4|6.4
<a target="_blank" href="/Chart.php?code=sh600680"><span class="fore-stock-name">上海普天</span><span class="fore-stock-spell displaynone">600680SHPT</span></a>|<span class="fore-stock-code">sh600680</span>|0.32|6|4.3|4.3|0|5.4|5.4|5.8|5.8
