name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sz000005"><span class="fore-stock-name">世纪星源</span><span class="fore-stock-spell displaynone">000005SJXY</span></a>|<span class="fore-stock-code">sz000005</span>|0.34|6|3.4|3.4|0|5.7|5.7|4.5|4.5
<a target="_blank" href="/Chart.php?code=sz300153"><span class="fore-stock-name">科泰电源</span><span class="fore-stock-spell displaynone">300153KTDY</span></a>|<span class="fore-stock-code">sz300153</span>|0.28|6|3.9|3.9|0|4.2|4.2|3.5|3.5
<a target="_blank" href="/Chart.php?code=sz300399"><span class="fore-stock-name">京天利</span><span class="fore-stock-spell displaynone">300399JTL</span></a>|<span class="fore-stock-code">sz300399</span>|0.23|6|3.9|3.9|0|4.5|4.5|4|4
<a target="_blank" href="/Chart.php?code=sz002702"><span class="fore-stock-name">海欣食品</span><span class="fore-stock-spell displaynone">002702HXSP</span></a>|<span class="fore-stock-code">sz002702</span>|0.34|6|3.9|3.9|0|4|4|6|6
<a target="_blank" href="/Chart.php?code=sh601918"><span class="fore-stock-name">国投新集</span><span class="fore-stock-spell displaynone">601918GTXJ</span></a>|<span class="fore-stock-code">sh601918</span>|0.27|6|4.1|4.1|0|5.1|5.1|4.6|4.6
<a target="_blank" href="/Chart.php?code=sz002269"><span class="fore-stock-name">美邦服饰</span><span class="fore-stock-spell displaynone">002269MBFS</span></a>|<span class="fore-stock-code">sz002269</span>|0.24|6|4.1|4.1|0|4.8|4.8|4.8|4.8
<a target="_blank" href="/Chart.php?code=sh601519"><span class="fore-stock-name">大智慧</span><span class="fore-stock-spell displaynone">601519DZH</span></a>|<span class="fore-stock-code">sh601519</span>|0.24|6|4.1|4.1|0|5.1|5.1|5.3|5.3
<a target="_blank" href="/Chart.php?code=sz002360"><span class="fore-stock-name">同德化工</span><span class="fore-stock-spell displaynone">002360TDHG</span></a>|<span class="fore-stock-code">sz002360</span>|0.22|6|4.1|4.1|0|5.7|5.7|5.4|5.4
<a target="_blank" href="/Chart.php?code=sz002027"><span class="fore-stock-name">七喜控股</span><span class="fore-stock-spell displaynone">002027QXKG</span></a>|<span class="fore-stock-code">sz002027</span>|0.25|6|4.1|4.1|0|6.7|6.7|5.4|5.4
<a target="_blank" href="/Chart.php?code=sz300211"><span class="fore-stock-name">亿通科技</span><span class="fore-stock-spell displaynone">300211YTKJ</span></a>|<span class="fore-stock-code">sz300211</span>|0.2|6|4.2|4.2|0|4.3|4.3|5.3|5.3
