name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sz300182"><span class="fore-stock-name">捷成股份</span><span class="fore-stock-spell displaynone">300182JCGF</span></a>|<span class="fore-stock-code">sz300182</span>|0.34|4|6.7|6.7|0|5.4|5.4|5.2|5.2
<a target="_blank" href="/Chart.php?code=sh600162"><span class="fore-stock-name">香江控股</span><span class="fore-stock-spell displaynone">600162XJKG</span></a>|<span class="fore-stock-code">sh600162</span>|0.29|4|5.5|5.5|0|7.4|7.4|7.2|7.2
<a target="_blank" href="/Chart.php?code=sz002021"><span class="fore-stock-name">中捷资源</span><span class="fore-stock-spell displaynone">002021ZJZY</span></a>|<span class="fore-stock-code">sz002021</span>|0.47|5|3.4|3.4|0|5.1|5.1|5.8|5.8
<a target="_blank" href="/Chart.php?code=sz000038"><span class="fore-stock-name">深大通</span><span class="fore-stock-spell displaynone">000038SDT</span></a>|<span class="fore-stock-code">sz000038</span>|0.47|5|6.7|6.7|0|6|6|5.2|5.2
<a target="_blank" href="/Chart.php?code=sz300212"><span class="fore-stock-name">易华录</span><span class="fore-stock-spell displaynone">300212YHL</span></a>|<span class="fore-stock-code">sz300212</span>|0.34|5|6.7|6.7|0|6.5|6.5|6.4|6.4
<a target="_blank" href="/Chart.php?code=sh600868"><span class="fore-stock-name">梅雁吉祥</span><span class="fore-stock-spell displaynone">600868MYJX</span></a>|<span class="fore-stock-code">sh600868</span>|0.47|6|3.1|3.1|0|3.9|3.9|5|5
<a target="_blank" href="/Chart.php?code=sz002058"><span class="fore-stock-name">威尔泰</span><span class="fore-stock-spell displaynone">002058WET</span></a>|<span class="fore-stock-code">sz002058</span>|0.26|6|4.1|4.1|0|4.1|4.1|4.4|4.4
<a target="_blank" href="/Chart.php?code=sz002205"><span class="fore-stock-name">国统股份</span><span class="fore-stock-spell displaynone">002205GTGF</span></a>|<span class="fore-stock-code">sz002205</span>|0.26|6|3.6|3.6|0|4.1|4.1|3.8|3.8
<a target="_blank" href="/Chart.php?code=sh600262"><span class="fore-stock-name">北方股份</span><span class="fore-stock-spell displaynone">600262BFGF</span></a>|<span class="fore-stock-code">sh600262</span>|0.27|6|4.7|4.7|0|4.1|4.1|4.5|4.5
<a target="_blank" href="/Chart.php?code=sh600602"><span class="fore-stock-name">仪电电子</span><span class="fore-stock-spell displaynone">600602YDDZ</span></a>|<span class="fore-stock-code">sh600602</span>|0.29|6|5.5|5.5|0|4.1|4.1|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz000930"><span class="fore-stock-name">中粮生化</span><span class="fore-stock-spell displaynone">000930ZLSH</span></a>|<span class="fore-stock-code">sz000930</span>|0.32|6|4.5|4.5|0|4.2|4.2|4.4|4.4
<a target="_blank" href="/Chart.php?code=sz000836"><span class="fore-stock-name">鑫茂科技</span><span class="fore-stock-spell displaynone">000836XMKJ</span></a>|<span class="fore-stock-code">sz000836</span>|0.28|6|6.1|6.1|0|4.3|4.3|4.8|4.8
<a target="_blank" href="/Chart.php?code=sh600215"><span class="fore-stock-name">长春经开</span><span class="fore-stock-spell displaynone">600215CCJK</span></a>|<span class="fore-stock-code">sh600215</span>|0.3|6|4|4|0|4.3|4.3|4.6|4.6
<a target="_blank" href="/Chart.php?code=sh600477"><span class="fore-stock-name">杭萧钢构</span><span class="fore-stock-spell displaynone">600477HXGG</span></a>|<span class="fore-stock-code">sh600477</span>|0.3|6|6.5|6.5|0|4.3|4.3|5.3|5.3
<a target="_blank" href="/Chart.php?code=sh600821"><span class="fore-stock-name">津劝业</span><span class="fore-stock-spell displaynone">600821JQY</span></a>|<span class="fore-stock-code">sh600821</span>|0.25|6|4.6|4.6|0|4.4|4.4|5|5
<a target="_blank" href="/Chart.php?code=sh600740"><span class="fore-stock-name">山西焦化</span><span class="fore-stock-spell displaynone">600740SXJH</span></a>|<span class="fore-stock-code">sh600740</span>|0.27|6|4.1|4.1|0|4.4|4.4|4.5|4.5
<a target="_blank" href="/Chart.php?code=sh600676"><span class="fore-stock-name">交运股份</span><span class="fore-stock-spell displaynone">600676JYGF</span></a>|<span class="fore-stock-code">sh600676</span>|0.25|6|5.6|5.6|0|4.5|4.5|4.2|4.2
<a target="_blank" href="/Chart.php?code=sz000905"><span class="fore-stock-name">厦门港务</span><span class="fore-stock-spell displaynone">000905XMGW</span></a>|<span class="fore-stock-code">sz000905</span>|0.25|6|5.5|5.5|0|4.5|4.5|5.7|5.7
<a target="_blank" href="/Chart.php?code=sh600126"><span class="fore-stock-name">杭钢股份</span><span class="fore-stock-spell displaynone">600126HGGF</span></a>|<span class="fore-stock-code">sh600126</span>|0.28|6|5.4|5.4|0|4.5|4.5|5.4|5.4
<a target="_blank" href="/Chart.php?code=sh600076"><span class="fore-stock-name">青鸟华光</span><span class="fore-stock-spell displaynone">600076QNHG</span></a>|<span class="fore-stock-code">sh600076</span>|0.29|6|5.3|5.3|0|4.5|4.5|4.8|4.8
<a target="_blank" href="/Chart.php?code=sh600725"><span class="fore-stock-name">云维股份</span><span class="fore-stock-spell displaynone">600725YWGF</span></a>|<span class="fore-stock-code">sh600725</span>|0.26|6|2.8|2.8|0|4.6|4.6|3.5|3.5
