name|code|total_score_max|total_score_min|message_score_max|message_score_min|trade_score_max|trade_score_min|basic_score_max|basic_score_min|rate_buy_num|lhb_num
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002431"><span class="fore-stock-name">棕榈园林</span><span class="fore-stock-spell displaynone">(002431ZLYL)</span></a>|<span class="fore-stock-code">sz002431</span>|5.5|4.2|5|4.7|6.6|5.2|4.3|4.3|0|1
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002453"><span class="fore-stock-name">天马精化</span><span class="fore-stock-spell displaynone">(002453TMJH)</span></a>|<span class="fore-stock-code">sz002453</span>|6.5|4.1|4.9|4|7.8|6.3|6.3|5.9|0|4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002560"><span class="fore-stock-name">通达股份</span><span class="fore-stock-spell displaynone">(002560TDGF)</span></a>|<span class="fore-stock-code">sz002560</span>|7.2|4.9|7|6|7.2|5.1|7|6.7|0|3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002596"><span class="fore-stock-name">海南瑞泽</span><span class="fore-stock-spell displaynone">(002596HNRZ)</span></a>|<span class="fore-stock-code">sz002596</span>|6.7|4.3|5.8|5.5|7.6|6|5|4.5|1|3
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002604"><span class="fore-stock-name">龙力生物</span><span class="fore-stock-spell displaynone">(002604LLSW)</span></a>|<span class="fore-stock-code">sz002604</span>|6.3|4.4|6.7|6.4|8.2|6.5|5.5|5.2|1|4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002629"><span class="fore-stock-name">仁智油服</span><span class="fore-stock-spell displaynone">(002629RZYF)</span></a>|<span class="fore-stock-code">sz002629</span>|5.6|4|4.8|3.7|7.9|5.2|4.3|4.3|0|4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz002639"><span class="fore-stock-name">雪人股份</span><span class="fore-stock-spell displaynone">(002639XRGF)</span></a>|<span class="fore-stock-code">sz002639</span>|6|4.6|6.6|6.1|7.7|5.8|5.8|5.4|3|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz300020"><span class="fore-stock-name">银江股份</span><span class="fore-stock-spell displaynone">(300020YJGF)</span></a>|<span class="fore-stock-code">sz300020</span>|6.4|4.8|6.2|5.6|8.4|5.2|5.5|5.5|9|2
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz300153"><span class="fore-stock-name">科泰电源</span><span class="fore-stock-spell displaynone">(300153KTDY)</span></a>|<span class="fore-stock-code">sz300153</span>|5.8|3.9|4.4|4|7.2|5.1|4.1|4.1|1|5
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz300317"><span class="fore-stock-name">珈伟股份</span><span class="fore-stock-spell displaynone">(300317JWGF)</span></a>|<span class="fore-stock-code">sz300317</span>|6.9|5.4|6.2|5.7|7.7|5.5|7.6|7.6|3|4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz300333"><span class="fore-stock-name">兆日科技</span><span class="fore-stock-spell displaynone">(300333ZRKJ)</span></a>|<span class="fore-stock-code">sz300333</span>|6.8|5.9|6.8|5.9|8.2|5|5.4|5.4|1|4
<a target="_blank" href="http://localhost/ForeShadowAlpha/Stock.php?code=sz300368"><span class="fore-stock-name">汇金股份</span><span class="fore-stock-spell displaynone">(300368HJGF)</span></a>|<span class="fore-stock-code">sz300368</span>|6.3|5.7|7|5.9|4.7|1.6|7.1|6.9|3|10
